,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
3131,PA3166,18.35193861,0.089774461,pheA,bifunctional chorismate mutase/prephenate dehydratase
3132,PA0501,22.22722662,0.090146343,bioF,8-amino-7-oxononanoate synthase
3133,PA1171,22.22722662,0.090146343,-,transglycosylase
3134,PA1210,22.22722662,0.090146343,-,"quercetin 2,3-dioxygenase"
3135,PA2877,22.22722662,0.090146343,-,transcriptional regulator
3136,PA3777,22.22722662,0.090146343,xseA,exodeoxyribonuclease VII large subunit
3137,PA1000,26.10251463,0.090342819,pqsE,thioesterase PqsE
3138,PA3855,26.10251463,0.090342819,-,hypothetical protein PA3855
3139,PA0610,76.48125873,0.09037775,prtN,transcriptional regulator PrtN
3140,PA1011,29.97780263,0.090456587,-,hypothetical protein PA1011
3141,PA1866,29.97780263,0.090456587,-,hypothetical protein PA1866
3142,PA0242,72.60597072,0.090460889,-,hypothetical protein PA0242
3143,PA3625,37.72837865,0.090587621,surE,5\'-nucleotidase SurE
3144,PA4619,64.8553947,0.090593438,-,cytochrome C
3145,PA1839,41.60366666,0.090638017,-,RNA methyltransferase
3146,PA4859,41.60366666,0.090638017,-,ABC transporter permease
3147,PA4995,41.60366666,0.090638017,-,acyl-CoA dehydrogenase
3148,PA3175,57.10481869,0.090673445,-,formimidoylglutamase
3149,PA5161,57.10481869,0.090673445,rmlB,"dTDP-D-glucose 4,6-dehydratase"
3150,PA0098,49.35424267,0.090690746,-,3-oxoacyl-ACP synthase
3151,PA4459,267.1721548,0.092851332,-,hypothetical protein PA4459
3152,PA2810,564.0993946000001,0.093093465,copS,two-component sensor CopS
3153,PA5445,455.81404810000004,0.093347634,-,coenzyme A transferase
3154,PA2791,85.65722803,0.093756842,-,hypothetical protein PA2791
3155,PA3272,314.0765028,0.093964513,-,ATP-dependent DNA helicase
3156,PA1944,249.22110809999998,0.094926418,-,hypothetical protein PA1944
3157,PA4683,66.28078799,0.095163475,-,hypothetical protein PA4683
3158,PA1256,58.53021198,0.095797933,-,amino acid ABC transporter ATP binding protein
3159,PA4854,58.53021198,0.095797933,purH,bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
3160,PA2869,90.95790933,0.096811822,-,hypothetical protein PA2869
3161,PA4694,46.90434796,0.096915144,ilvC,ketol-acid reductoisomerase
3162,PA2932,43.02905995,0.097362266,morB,morphinone reductase
3163,PA1643,83.20733332,0.097646109,-,tRNA 2-selenouridine synthase
3164,PA0157,39.15377194,0.097870633,-,resistance-nodulation-cell division (RND) efflux membrane fusion protein
3165,PA0414,39.15377194,0.097870633,chpB,methylesterase
3166,PA1523,157.2386973,0.097926751,xdhB,xanthine dehydrogenase
3167,PA0147,79.33204531,0.098088434,-,oxidoreductase
3168,PA0296,174.1652426,0.098356897,spuI,glutamine synthetase
3169,PA4136,35.27848393,0.098466718,-,major facilitator superfamily transporter
3170,PA3400,75.45675729999999,0.098550675,-,hypothetical protein PA3400
3171,PA5449,124.811,0.098918169,wbpX,glycosyltransferase WbpX
3172,PA2092,31.40319592,0.099184875,-,major facilitator superfamily transporter
3173,PA4058,31.40319592,0.099184875,NaN,NaN
3174,PA1055,4.276179871,0.099978122,-,monovalent cation/H+ antiporter subunit C
3175,PA1641,4.276179871,0.099978122,-,hypothetical protein PA1641
3176,PA1698,4.276179871,0.099978122,popN,type III secretion outer membrane protein PopN
3177,PA1710,4.276179871,0.099978122,exsC,exoenzyme S synthesis protein ExsC
3178,PA1899,4.276179871,0.099978122,phzA2,phenazine biosynthesis protein PhzA
3179,PA2978,4.276179871,0.099978122,ptpA,phosphotyrosine protein phosphatase
3180,PA3304.1,4.276179871,0.099978122,NaN,NaN
3181,PA4836,4.276179871,0.099978122,-,hypothetical protein PA4836
3182,PA1973,27.52790792,0.100041518,pqqF,coenzyme PQQ synthesis protein F
3183,PA3134,27.52790792,0.100041518,gltX,glutamate--tRNA ligase
3184,PA4155,27.52790792,0.100041518,-,hypothetical protein PA4155
3185,PA4469,63.83089328,0.100107282,-,hypothetical protein PA4469
3186,PA1887,171.7153479,0.100392987,-,hypothetical protein PA1887
3187,PA4157,59.95560527,0.10070143,-,transcriptional regulator
3188,PA0898,23.65261991,0.101063447,aruD,N-succinylglutamate 5-semialdehyde dehydrogenase
3189,PA0559,308.55310380000003,0.101269749,-,hypothetical protein PA0559
3190,PA0831,56.08031726,0.101346223,oruR,ornithine utilization transcriptional regulator OruR
3191,PA3083,336.08101170000003,0.102212572,pepN,aminopeptidase
3192,PA0837,19.7773319,0.102270563,slyD,peptidyl-prolyl cis-trans isomerase SlyD
3193,PA2209,19.7773319,0.102270563,-,hypothetical protein PA2209
3194,PA2534,19.7773319,0.102270563,-,transcriptional regulator
3195,PA3653,19.7773319,0.102270563,frr,ribosome recycling factor
3196,PA1129,1.8262851530000002,0.102464562,-,glutathione transferase FosA
3197,PA1705,1.8262851530000002,0.102464562,pcrG,type III secretion regulator
3198,PA1885,1.8262851530000002,0.102464562,-,hypothetical protein PA1885
3199,PA3837,48.32974125,0.102836413,-,ABC transporter permease
3200,PA0269,15.90204389,0.103631685,-,hypothetical protein PA0269
3201,PA2861,15.90204389,0.103631685,ligT,2\'-5\' RNA ligase
3202,PA3377,15.90204389,0.103631685,-,hypothetical protein PA3377
3203,PA4326,44.45445324,0.103717007,-,hypothetical protein PA4326
3204,PA4395,44.45445324,0.103717007,-,nucleotide-binding protein
3205,PA1796.3,0.8017837259999999,0.103720434,NaN,NaN
3206,PA1804,0.8017837259999999,0.103720434,hupB,DNA-binding protein HU
3207,PA2193,0.8017837259999999,0.103720434,hcnA,hydrogen cyanide synthase subunit HcnA
3208,PA2296,0.8017837259999999,0.103720434,-,hypothetical protein PA2296
3209,PA2673,0.8017837259999999,0.103720434,-,type II secretion system protein
3210,PA2775.1,0.8017837259999999,0.103720434,NaN,NaN
3211,PA3413,0.8017837259999999,0.103720434,-,hypothetical protein PA3413
3212,PA4758.1,0.8017837259999999,0.103720434,NaN,NaN
3213,PA2397,351.98305560000006,0.103759342,pvdE,pyoverdine biosynthesis protein PvdE
3214,PA2385,89.9334079,0.103825927,pvdQ,acyl-homoserine lactone acylase PvdQ
3215,PA3708,89.9334079,0.103825927,wspA,chemotaxis transducer
3216,PA4319,40.57916523,0.104723152,-,hypothetical protein PA4319
3217,PA3698,12.02675589,0.104953653,-,hypothetical protein PA3698
3218,PA1180,61.38099856,0.105397285,phoQ,two-component sensor PhoQ
3219,PA4142,61.38099856,0.105397285,-,secretion protein
3220,PA0177,8.151467878,0.105423289,-,purine-binding chemotaxis protein
3221,PA1950,8.151467878,0.105423289,rbsK,ribokinase
3222,PA2093,8.151467878,0.105423289,-,RNA polymerase sigma factor
3223,PA3275,8.151467878,0.105423289,-,hypothetical protein PA3275
3224,PA4789,8.151467878,0.105423289,-,hypothetical protein PA4789
3225,PA5015,228.1965571,0.105718444,aceE,pyruvate dehydrogenase subunit E1
3226,PA1607,36.70387722,0.105896231,-,hypothetical protein PA1607
3227,PA4595,91.35880119,0.106977333,-,ABC transporter ATP-binding protein
3228,PA4952,1377.909876,0.107014747,-,ribosome-associated GTPase
3229,PA2361,32.82858921,0.107297333,-,hypothetical protein PA2361
3230,PA3174,32.82858921,0.107297333,-,transcriptional regulator
3231,PA1190,49.75513454,0.108460316,-,hypothetical protein PA1190
3232,PA3544,96.65948249,0.109132975,algE,alginate production protein AlgE
3233,PA0749,161.91576909999998,0.109148437,-,hypothetical protein PA0749
3234,PA0599,715.1019963,0.109853351,-,hypothetical protein PA0599
3235,PA1304,62.80639185,0.109897778,-,oligopeptidase
3236,PA0454,215.5461916,0.109994055,-,hypothetical protein PA0454
3237,PA3878,75.85764916,0.110663923,narX,two-component sensor NarX
3238,PA1243,71.98236116,0.111752912,-,sensor/response regulator hybrid protein
3239,PA3823,133.36335970000002,0.112124558,tgt,queuine tRNA-ribosyltransferase
3240,PA4725,209.22100890000002,0.112318219,cbrA,two-component sensor CbrA
3241,PA5224,55.05581583,0.112365883,pepP,aminopeptidase
3242,PA0506,120.3121024,0.112447859,-,acyl-CoA dehydrogenase
3243,PA0260,743.8325798,0.112463582,-,hypothetical protein PA0260
3244,PA2047,81.15833046,0.113101804,-,transcriptional regulator
3245,PA0718,21.20272519,0.113535178,-,hypothetical protein PA0718
3246,PA3191,21.20272519,0.113535178,-,two-component sensor
3247,PA2359,64.23178514,0.114214234,-,transcriptional regulator
3248,PA0450,894.879725,0.114967361,-,phosphate transporter
3249,PA5348,73.40775445,0.115521073,-,DNA-binding protein
3250,PA2339,60.35649713,0.115619945,-,binding-protein-dependent maltose/mannitol transport protein
3251,PA3608,60.35649713,0.115619945,potB,polyamine ABC transporter permease PotB
3252,PA4343,17.32743718,0.116611837,-,major facilitator superfamily transporter
3253,PA1050,30.3786945,0.117253743,-,hypothetical protein PA1050
3254,PA4277.2,6.414269806,0.118091468,NaN,NaN
3255,PA5340,65.65717843,0.118357107,-,hypothetical protein PA5340
3256,PA0549,52.60592112,0.118898393,-,hypothetical protein PA0549
3257,PA4861,52.60592112,0.118898393,-,ABC transporter ATP-binding protein
3258,PA3398,393.9430706,0.119613986,-,transcriptional regulator
3259,PA4498,84.00911704,0.119659823,-,metallopeptidase
3260,PA1079,93.18508635,0.119948624,flgD,flagellar basal body rod modification protein
3261,PA0605,102.36105570000001,0.120095959,-,ABC transporter permease
3262,PA0500,26.50340649,0.120161103,bioB,biotin synthase
3263,PA3384,26.50340649,0.120161103,phnC,phosphonate ABC transporter ATP-binding protein
3264,PA2148,5.211594217,0.12188032,-,hypothetical protein PA2148
3265,PA4092,35.679375799999995,0.121920274,hpaC,4-hydroxyphenylacetate 3-monooxygenase small subunit
3266,PA4288,35.679375799999995,0.121920274,-,transcriptional regulator
3267,PA0170,85.43451033,0.122778383,-,hypothetical protein PA0170
3268,PA4391,372.1167358,0.123025248,-,hypothetical protein PA4391
3269,PA1437,22.62811848,0.123737666,-,two-component response regulator
3270,PA1666,22.62811848,0.123737666,-,hypothetical protein PA1666
3271,PA4408,22.62811848,0.123737666,ftsA,cell division protein FtsA
3272,PA4773,22.62811848,0.123737666,-,hypothetical protein PA4773
3273,PA4616,63.20728371,0.124152471,-,C4-dicarboxylate-binding protein
3274,PA1722,9.576861168999999,0.124413942,pscI,type III export protein PscI
3275,PA3727,9.576861168999999,0.124413942,-,hypothetical protein PA3727
3276,PA5354,9.576861168999999,0.124413942,glcE,glycolate oxidase FAD binding subunit
3277,PA3289,114.3878115,0.124771135,-,hypothetical protein PA3289
3278,PA2511,138.0404314,0.124822436,-,transcriptional regulator
3279,PA3856,31.80408779,0.124924539,-,hypothetical protein PA3856
3280,PA5463,31.80408779,0.124924539,-,hypothetical protein PA5463
3281,PA1046,40.98005709,0.125575735,-,hypothetical protein PA1046
3282,PA0687,77.68393432,0.12603401,-,type II secretion system protein
3283,PA4894,68.50796501,0.126160078,-,hypothetical protein PA4894
3284,PA0905.3,5.701573161000001,0.126218519,NaN,NaN
3285,PA1275,5.701573161000001,0.126218519,cobD,cobalamin biosynthesis protein CobD
3286,PA2050,5.701573161000001,0.126218519,-,RNA polymerase sigma factor
3287,PA2451,5.701573161000001,0.126218519,NaN,NaN
3288,PA5115,5.701573161000001,0.126218519,-,hypothetical protein PA5115
3289,PA5339,5.701573161000001,0.126218519,-,hypothetical protein PA5339
3290,PA4717,389.84506489999995,0.126382453,-,hypothetical protein PA4717
3291,PA0421,101.3365542,0.12658219,-,hypothetical protein PA0421
3292,PA4111,82.98461561,0.127482669,-,hypothetical protein PA4111
3293,PA3081,121.1138861,0.127780957,-,hypothetical protein PA3081
3294,PA1993,64.632677,0.128157749,-,hypothetical protein PA1993
3295,PA1077,18.75283047,0.128191644,flgB,flagellar basal-body rod protein FlgB
3296,PA1364,18.75283047,0.128191644,-,transmembrane sensor
3297,PA2200,18.75283047,0.128191644,-,hypothetical protein PA2200
3298,PA3913,18.75283047,0.128191644,-,protease
3299,PA4049,18.75283047,0.128191644,-,hypothetical protein PA4049
3300,PA4522,18.75283047,0.128191644,ampD,N-acetyl-anhydromuranmyl-L-alanine amidase
3301,PA0803,55.4567077,0.128375697,-,hypothetical protein PA0803
3302,PA0027,46.28073839,0.128497574,-,hypothetical protein PA0027
3303,PA3387,27.92879978,0.128558679,rhlG,3-oxoacyl-ACP reductase
3304,PA4816,27.92879978,0.128558679,-,hypothetical protein PA4816
3305,PA0702,205.52389499999998,0.129615032,-,hypothetical protein PA0702
3306,PA4208,171.2699125,0.12973363,opmD,hypothetical protein PA4208
3307,PA3187,69.9333583,0.129837445,-,ABC transporter ATP-binding protein
3308,PA2817,122.5392794,0.129845736,-,hypothetical protein PA2817
3309,PA4682,60.75738899,0.130356403,-,hypothetical protein PA4682
3310,PA3870,162.09394319999998,0.130401954,moaA1,molybdenum cofactor biosynthesis protein A
3311,PA5455,51.58141969,0.130861682,-,hypothetical protein PA5455
3312,PA1296,443.6536616,0.130958392,-,2-hydroxyacid dehydrogenase
3313,PA1181,158.2186552,0.131540799,-,sensor protein
3314,PA1271,66.05807029,0.132002134,-,tonB-dependent receptor
3315,PA0186,33.22948108,0.132058715,-,ABC transporter
3316,PA1847,33.22948108,0.132058715,-,Fe/S biogenesis protein NfuA
3317,PA1131,24.05351177,0.133018932,-,major facilitator superfamily transporter
3318,PA1260,24.05351177,0.133018932,-,amino acid ABC transporter substrate-binding protein
3319,PA1266,24.05351177,0.133018932,-,oxidoreductase
3320,PA2902,24.05351177,0.133018932,-,hypothetical protein PA2902
3321,PA2272,327.4395649,0.133112626,pbpC,penicillin-binding protein 3A
3322,PA4250,14.87754247,0.133747782,rpsN,30S ribosomal protein S14
3323,PA2912,38.53016238,0.134744294,-,ABC transporter ATP-binding protein
3324,PA4018,243.029556,0.135131074,-,hypothetical protein PA4018
3325,EBG00001435518,9312.361626,0.135439972,NaN,NaN
3326,PA1916,53.00681298,0.135513398,-,amino acid permease
3327,PA1960,182.272167,0.135546633,-,hypothetical protein PA1960
3328,PA4505,67.48346358,0.135694534,-,ABC transporter ATP-binding protein
3329,PA4758,67.48346358,0.135694534,carA,carbamoyl phosphate synthase small subunit
3330,PA4186,924.6793535,0.136260334,-,hypothetical protein PA4186
3331,PA0704,29.35419307,0.136306483,-,amidase
3332,PA2706,58.30749428,0.137013573,-,hypothetical protein PA2706
3333,PA5366,179.82227230000004,0.137997406,pstB,phosphate ABC transporter ATP-binding protein
3334,PA5190,63.60817558,0.138239495,-,nitroreductase
3335,PA2390,83.38550748,0.138425574,pvdT,pyoverdine biosynthesis protein PvdT
3336,PA1067,20.17822376,0.138579454,-,transcriptional regulator
3337,PA1742,20.17822376,0.138579454,-,amidotransferase
3338,PA5550,34.65487437,0.138711092,glmR,GlmR transcriptional regulator
3339,PA0586,113.764202,0.138723519,-,hypothetical protein PA0586
3340,PA4715,849.044422,0.13877246,-,aminotransferase
3341,PA4998,259.3324917,0.138936881,-,hypothetical protein PA4998
3342,PA0562,439.9565477,0.139074476,-,hydrolase
3343,PA0472,11.00225446,0.140569003,-,RNA polymerase sigma factor
3344,PA0889,11.00225446,0.140569003,aotQ,arginine/ornithine ABC transporter permease AotQ
3345,PA2063,11.00225446,0.140569003,-,hypothetical protein PA2063
3346,PA2374,11.00225446,0.140569003,-,hypothetical protein PA2374
3347,PA2941,11.00225446,0.140569003,-,hypothetical protein PA2941
3348,PA3873,11.00225446,0.140569003,narJ,respiratory nitrate reductase subunit delta
3349,PA4093,11.00225446,0.140569003,-,hypothetical protein PA4093
3350,PA4364,11.00225446,0.140569003,-,hypothetical protein PA4364
3351,PA4866,11.00225446,0.140569003,-,hypothetical protein PA4866
3352,PA2075,39.95555567,0.140581023,-,hypothetical protein PA2075
3353,PA3635,39.95555567,0.140581023,eno,enolase
3354,PA5262,39.95555567,0.140581023,algZ,alginate biosynthesis protein AlgZ/FimS
3355,PA3368,79.51021947,0.140732946,-,acetyltransferase
3356,PA1099,59.73288757,0.141050114,fleR,two-component response regulator
3357,PA4768,300.7134407,0.141102915,smpB,SsrA-binding protein
3358,PA0185,25.47890506,0.141496804,-,ABC transporter permease
3359,PA5143,25.47890506,0.141496804,hisB,imidazoleglycerol-phosphate dehydratase
3360,PA4772,231.8045838,0.141778565,-,ferredoxin
3361,PA0042,45.25623696,0.142064308,-,hypothetical protein PA0042
3362,PA3122,375.3238707,0.142293927,-,transcriptional regulator
3363,PA4857,30.77958636,0.143476812,-,hypothetical protein PA4857
3364,PA0717,3.2516784430000003,0.143728845,NaN,NaN
3365,PA2013,3.2516784430000003,0.143728845,liuC,gamma-carboxygeranoyl-CoA hydratase
3366,PA4239,3.2516784430000003,0.143728845,rpsD,30S ribosomal protein S4
3367,PA5023,267.8848515,0.144042597,-,hypothetical protein PA5023
3368,PA0039,55.85759956,0.144175496,-,hypothetical protein PA0039
3369,PA2494,214.87803849999997,0.145041951,mexF,resistance-nodulation-cell division (RND) multidrug efflux transporter MexF
3370,PA1309,521.4712265,0.145122079,-,transcriptional regulator
3371,PA4019,188.37463200000002,0.145498002,-,aromatic acid decarboxylase
3372,PA0096,16.30293576,0.145594066,-,hypothetical protein PA0096
3373,PA0629,16.30293576,0.145594066,-,hypothetical protein PA0629
3374,PA1622,16.30293576,0.145594066,-,hydrolase
3375,PA2627,16.30293576,0.145594066,-,high frequency lysogenization protein HflD
3376,PA3209,16.30293576,0.145594066,-,hypothetical protein PA3209
3377,PA2250,333.3193122,0.146050484,lpdV,branched-chain alpha-keto acid dehydrogenase complex dihydrolipoyl dehydrogenase
3378,PA0946,41.38094896,0.146077628,-,hypothetical protein PA0946
3379,PA1257,41.38094896,0.146077628,-,amino acid ABC transporter permease
3380,PA3893,130.06713770000002,0.146533708,-,hypothetical protein PA3893
3381,PA3462,195.1007066,0.146558195,-,sensor/response regulator hybrid protein
3382,PA3946,87.66168735,0.146676684,rocS1,two-component sensor
3383,PA5035,108.8644125,0.14679874,gltD,glutamate synthase subunit beta
3384,PA3381,98.26304994,0.146814621,-,transcriptional regulator
3385,PA2598,46.68163025,0.146978297,-,hypothetical protein PA2598
3386,PA0612,7.126966451,0.147635677,ptrB,repressor PtrB
3387,PA1550,7.126966451,0.147635677,-,hypothetical protein PA1550
3388,PA2238,7.126966451,0.147635677,pslH,biofilm formation protein PslH
3389,PA3880,7.126966451,0.147635677,-,hypothetical protein PA3880
3390,PA5008,7.126966451,0.147635677,-,hypothetical protein PA5008
3391,PA1521,532.8743728000001,0.147837967,-,guanine deaminase
3392,PA0782,142.0938936,0.147933595,putA,bifunctional proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
3393,PA1145,21.60361705,0.147946342,-,transcriptional regulator
3394,PA4810,21.60361705,0.147946342,fdnI,nitrate-inducible formate dehydrogenase subunit gamma
3395,PA2394,67.88435545,0.148903875,pvdN,pyoverdine biosynthesis protein PvdN
3396,PA2400,99.68844323,0.149103808,pvdJ,pyoverdine biosynthesis protein PvdJ
3397,PA0768,26.90429835,0.149270353,lepB,signal peptidase I
3398,PA1073,26.90429835,0.149270353,braD,branched-chain amino acid ABC transporter permease BraD
